t,ch1,ch2,
,,,
-2.9999999e-04,1.20000e-02,5.99998e-01,
-2.9899998e-04,1.60000e-02,-5.99998e-01,
-2.9799997e-04,1.60000e-02,-5.99998e-01,
-2.9699996e-04,2.00000e-02,-1.80000e+00,
-2.9599995e-04,2.00000e-02,-2.20000e+00,
-2.9499995e-04,3.20000e-02,-3.80000e+00,
-2.9399994e-04,2.80000e-02,-3.80000e+00,
-2.9299993e-04,3.60000e-02,-6.20000e+00,
-2.9199992e-04,3.60000e-02,-6.20000e+00,
-2.9099992e-04,4.40000e-02,-9.40000e+00,
-2.8999991e-04,4.40000e-02,-9.40000e+00,
-2.8899990e-04,4.80000e-02,-9.40000e+00,
-2.8799989e-04,4.40000e-02,-9.40000e+00,
-2.8699989e-04,5.20000e-02,-9.40000e+00,
-2.8599988e-04,5.20000e-02,-9.40000e+00,
-2.8499987e-04,5.60000e-02,-9.40000e+00,
-2.8399986e-04,5.20000e-02,-9.40000e+00,
-2.8299986e-04,6.00000e-02,-9.80000e+00,
-2.8199985e-04,6.00000e-02,-9.40000e+00,
-2.8099984e-04,6.40000e-02,-9.40000e+00,
-2.7999983e-04,6.40000e-02,-9.40000e+00,
-2.7899983e-04,7.20000e-02,-9.40000e+00,
-2.7799982e-04,7.20000e-02,-9.40000e+00,
-2.7699981e-04,7.60000e-02,-9.40000e+00,
-2.7599980e-04,7.60000e-02,-9.40000e+00,
-2.7499979e-04,7.20000e-02,-9.40000e+00,
-2.7399979e-04,7.20000e-02,-9.40000e+00,
-2.7299978e-04,6.40000e-02,-9.40000e+00,
-2.7199977e-04,7.20000e-02,-9.40000e+00,
-2.7099976e-04,6.00000e-02,-7.00000e+00,
-2.6999976e-04,6.40000e-02,-7.00000e+00,
-2.6899975e-04,5.20000e-02,-5.00000e+00,
-2.6799974e-04,5.60000e-02,-5.00000e+00,
-2.6699973e-04,4.40000e-02,-3.00000e+00,
-2.6599973e-04,4.80000e-02,-2.20000e+00,
-2.6499972e-04,4.40000e-02,-1.40000e+00,
-2.6399971e-04,4.40000e-02,-1.00000e+00,
-2.6299970e-04,3.60000e-02,2.00005e-01,
-2.6199970e-04,3.60000e-02,2.00005e-01,
-2.6099969e-04,2.40000e-02,1.00000e+00,
