t,ch1,ch2,
,,,
-5.6000003e-03,2.32000e+00,-1.34000e+01,
-5.5800001e-03,2.32000e+00,-1.36000e+01,
-5.5600000e-03,2.32000e+00,-1.38000e+01,
-5.5399998e-03,2.32000e+00,-1.34000e+01,
-5.5199997e-03,2.32000e+00,-1.36000e+01,
-5.4999995e-03,-2.56000e+00,-1.38000e+01,
-5.4799994e-03,-2.56000e+00,-1.38000e+01,
-5.4599992e-03,-2.56000e+00,-1.36000e+01,
-5.4399990e-03,-2.48000e+00,-1.38000e+01,
-5.4199989e-03,-2.56000e+00,-1.34000e+01,
-5.3999987e-03,-2.56000e+00,-1.34000e+01,
-5.3799986e-03,-2.48000e+00,-1.34000e+01,
-5.3599984e-03,-2.56000e+00,-1.34000e+01,
-5.3399983e-03,-2.48000e+00,-1.32000e+01,
-5.3199981e-03,-2.56000e+00,-1.32000e+01,
-5.2999980e-03,-2.56000e+00,-1.30000e+01,
-5.2799978e-03,-2.56000e+00,-1.30000e+01,
-5.2599977e-03,-2.48000e+00,-1.30000e+01,
-5.2399975e-03,-2.56000e+00,-1.30000e+01,
-5.2199974e-03,-2.48000e+00,-1.30000e+01,
-5.1999972e-03,-2.48000e+00,-1.30000e+01,
-5.1799971e-03,-2.56000e+00,-1.26000e+01,
-5.1599969e-03,-2.48000e+00,-1.26000e+01,
-5.1399968e-03,-2.56000e+00,-1.26000e+01,
-5.1199966e-03,-2.56000e+00,-1.26000e+01,
-5.0999965e-03,-2.48000e+00,-1.24000e+01,
-5.0799963e-03,-2.56000e+00,-1.26000e+01,
-5.0599962e-03,-2.48000e+00,-1.22000e+01,
-5.0399960e-03,-2.48000e+00,-1.22000e+01,
-5.0199958e-03,-2.56000e+00,-1.24000e+01,
-4.9999957e-03,-2.56000e+00,-1.22000e+01,
-4.9799955e-03,2.40000e+00,-1.22000e+01,
-4.9599954e-03,2.32000e+00,-1.22000e+01,
-4.9399952e-03,2.40000e+00,-1.26000e+01,
-4.9199951e-03,2.32000e+00,-1.22000e+01,
-4.8999949e-03,2.40000e+00,-1.26000e+01,
-4.8799948e-03,2.32000e+00,-1.26000e+01,
-4.8599946e-03,2.40000e+00,-1.26000e+01,
-4.8399945e-03,2.40000e+00,-1.26000e+01,
-4.8199943e-03,2.32000e+00,-1.28000e+01,
-4.7999942e-03,2.32000e+00,-1.28000e+01,
-4.7799940e-03,2.40000e+00,-1.30000e+01,
-4.7599939e-03,2.32000e+00,-1.30000e+01,
-4.7399937e-03,2.32000e+00,-1.30000e+01,
-4.7199936e-03,2.32000e+00,-1.32000e+01,
-4.6999934e-03,2.32000e+00,-1.30000e+01,
-4.6799933e-03,2.40000e+00,-1.32000e+01,
-4.6599931e-03,2.32000e+00,-1.34000e+01,
-4.6399930e-03,2.32000e+00,-1.34000e+01,
-4.6199928e-03,2.40000e+00,-1.34000e+01,
-4.5999927e-03,2.32000e+00,-1.34000e+01,
-4.5799925e-03,2.32000e+00,-1.36000e+01,
-4.5599923e-03,2.32000e+00,-1.38000e+01,
-4.5399922e-03,2.32000e+00,-1.34000e+01,
-4.5199920e-03,2.32000e+00,-1.38000e+01,
-4.4999919e-03,-2.56000e+00,-1.38000e+01,
-4.4799917e-03,-2.64000e+00,-1.38000e+01,
-4.4599916e-03,-2.56000e+00,-1.36000e+01,
-4.4399914e-03,-2.48000e+00,-1.38000e+01,
-4.4199913e-03,-2.56000e+00,-1.34000e+01,
-4.3999911e-03,-2.56000e+00,-1.34000e+01,
-4.3799910e-03,-2.48000e+00,-1.36000e+01,
-4.3599908e-03,-2.56000e+00,-1.34000e+01,
-4.3399907e-03,-2.48000e+00,-1.32000e+01,
-4.3199905e-03,-2.56000e+00,-1.32000e+01,
-4.2999904e-03,-2.48000e+00,-1.30000e+01,
-4.2799902e-03,-2.48000e+00,-1.30000e+01,
-4.2599901e-03,-2.56000e+00,-1.32000e+01,
-4.2399899e-03,-2.56000e+00,-1.30000e+01,
-4.2199898e-03,-2.56000e+00,-1.30000e+01,
-4.1999896e-03,-2.56000e+00,-1.30000e+01,
-4.1799895e-03,-2.48000e+00,-1.26000e+01,
-4.1599893e-03,-2.56000e+00,-1.26000e+01,
-4.1399891e-03,-2.48000e+00,-1.26000e+01,
-4.1199890e-03,-2.56000e+00,-1.26000e+01,
-4.0999888e-03,-2.48000e+00,-1.24000e+01,
-4.0799887e-03,-2.56000e+00,-1.26000e+01,
-4.0599885e-03,-2.48000e+00,-1.22000e+01,
-4.0399884e-03,-2.56000e+00,-1.22000e+01,
-4.0199882e-03,-2.48000e+00,-1.22000e+01,
-3.9999881e-03,-2.56000e+00,-1.22000e+01,
-3.9799879e-03,2.40000e+00,-1.22000e+01,
-3.9599878e-03,2.32000e+00,-1.22000e+01,
-3.9399876e-03,2.32000e+00,-1.24000e+01,
-3.9199875e-03,2.32000e+00,-1.24000e+01,
-3.8999876e-03,2.40000e+00,-1.26000e+01,
-3.8799876e-03,2.32000e+00,-1.26000e+01,
-3.8599877e-03,2.40000e+00,-1.26000e+01,
-3.8399878e-03,2.32000e+00,-1.26000e+01,
-3.8199879e-03,2.40000e+00,-1.28000e+01,
-3.7999880e-03,2.32000e+00,-1.30000e+01,
-3.7799880e-03,2.32000e+00,-1.28000e+01,
-3.7599881e-03,2.32000e+00,-1.30000e+01,
-3.7399882e-03,2.40000e+00,-1.30000e+01,
-3.7199883e-03,2.32000e+00,-1.30000e+01,
-3.6999884e-03,2.40000e+00,-1.32000e+01,
-3.6799884e-03,2.32000e+00,-1.32000e+01,
-3.6599885e-03,2.32000e+00,-1.34000e+01,
-3.6399886e-03,2.32000e+00,-1.34000e+01,
-3.6199887e-03,2.40000e+00,-1.34000e+01,
-3.5999888e-03,2.32000e+00,-1.34000e+01,
-3.5799888e-03,2.32000e+00,-1.36000e+01,
-3.5599889e-03,2.32000e+00,-1.34000e+01,
-3.5399890e-03,2.32000e+00,-1.38000e+01,
-3.5199891e-03,2.32000e+00,-1.38000e+01,
-3.4999892e-03,-2.56000e+00,-1.34000e+01,
-3.4799892e-03,-2.56000e+00,-1.38000e+01,
-3.4599893e-03,-2.48000e+00,-1.36000e+01,
-3.4399894e-03,-2.56000e+00,-1.38000e+01,
-3.4199895e-03,-2.48000e+00,-1.34000e+01,
-3.3999896e-03,-2.48000e+00,-1.34000e+01,
-3.3799896e-03,-2.56000e+00,-1.34000e+01,
-3.3599897e-03,-2.48000e+00,-1.34000e+01,
-3.3399898e-03,-2.56000e+00,-1.32000e+01,
-3.3199899e-03,-2.56000e+00,-1.32000e+01,
-3.2999900e-03,-2.48000e+00,-1.30000e+01,
-3.2799901e-03,-2.48000e+00,-1.30000e+01,
-3.2599901e-03,-2.56000e+00,-1.32000e+01,
-3.2399902e-03,-2.56000e+00,-1.30000e+01,
-3.2199903e-03,-2.48000e+00,-1.30000e+01,
-3.1999904e-03,-2.48000e+00,-1.30000e+01,
-3.1799905e-03,-2.56000e+00,-1.26000e+01,
-3.1599905e-03,-2.56000e+00,-1.26000e+01,
-3.1399906e-03,-2.48000e+00,-1.26000e+01,
-3.1199907e-03,-2.56000e+00,-1.26000e+01,
-3.0999908e-03,-2.48000e+00,-1.24000e+01,
-3.0799909e-03,-2.56000e+00,-1.26000e+01,
-3.0599909e-03,-2.48000e+00,-1.22000e+01,
-3.0399910e-03,-2.48000e+00,-1.24000e+01,
-3.0199911e-03,-2.56000e+00,-1.22000e+01,
-2.9999912e-03,-2.56000e+00,-1.22000e+01,
-2.9799913e-03,2.40000e+00,-1.22000e+01,
-2.9599913e-03,2.32000e+00,-1.22000e+01,
-2.9399914e-03,2.32000e+00,-1.24000e+01,
-2.9199915e-03,2.32000e+00,-1.22000e+01,
-2.8999916e-03,2.32000e+00,-1.26000e+01,
-2.8799917e-03,2.32000e+00,-1.26000e+01,
-2.8599917e-03,2.40000e+00,-1.26000e+01,
-2.8399918e-03,2.32000e+00,-1.26000e+01,
-2.8199919e-03,2.32000e+00,-1.30000e+01,
-2.7999920e-03,2.32000e+00,-1.28000e+01,
-2.7799921e-03,2.32000e+00,-1.30000e+01,
-2.7599921e-03,2.32000e+00,-1.30000e+01,
-2.7399922e-03,2.40000e+00,-1.30000e+01,
-2.7199923e-03,2.40000e+00,-1.30000e+01,
-2.6999924e-03,2.32000e+00,-1.32000e+01,
-2.6799925e-03,2.40000e+00,-1.32000e+01,
-2.6599925e-03,2.32000e+00,-1.34000e+01,
