t,ch1,ch2,
,,,
-3.5000001e-03,9.80000e+00,4.80000e+00,
-3.4900000e-03,-9.80000e+00,-9.20000e+00,
-3.4800000e-03,-9.80000e+00,-9.20000e+00,
-3.4699999e-03,-9.40000e+00,-9.20000e+00,
-3.4599998e-03,-9.80000e+00,-9.20000e+00,
-3.4499997e-03,-9.40000e+00,-9.20000e+00,
-3.4399997e-03,-9.80000e+00,-9.20000e+00,
-3.4299996e-03,-9.40000e+00,-9.20000e+00,
-3.4199995e-03,-9.80000e+00,-9.20000e+00,
-3.4099994e-03,-9.40000e+00,-9.20000e+00,
-3.3999993e-03,-9.80000e+00,-9.20000e+00,
-3.3899993e-03,-9.40000e+00,-9.20000e+00,
-3.3799992e-03,-9.40000e+00,-9.20000e+00,
-3.3699991e-03,-9.80000e+00,-9.20000e+00,
-3.3599990e-03,-9.80000e+00,-9.20000e+00,
-3.3499990e-03,-9.40000e+00,-9.20000e+00,
-3.3399989e-03,-9.40000e+00,-9.20000e+00,
-3.3299988e-03,-9.80000e+00,-9.20000e+00,
-3.3199987e-03,-9.80000e+00,-9.20000e+00,
-3.3099987e-03,-9.40000e+00,-9.60000e+00,
-3.2999986e-03,-9.40000e+00,-9.20000e+00,
-3.2899985e-03,-9.80000e+00,-9.20000e+00,
-3.2799984e-03,-9.80000e+00,-9.20000e+00,
-3.2699984e-03,-9.40000e+00,-9.20000e+00,
-3.2599983e-03,-9.40000e+00,-9.20000e+00,
-3.2499982e-03,-9.80000e+00,-9.20000e+00,
-3.2399981e-03,-9.80000e+00,-9.60000e+00,
-3.2299981e-03,-9.40000e+00,-9.20000e+00,
-3.2199980e-03,-9.40000e+00,-9.20000e+00,
-3.2099979e-03,-9.80000e+00,-9.60000e+00,
-3.1999978e-03,-9.80000e+00,-9.20000e+00,
-3.1899977e-03,-9.40000e+00,-9.20000e+00,
-3.1799977e-03,-9.40000e+00,-9.20000e+00,
-3.1699976e-03,-9.80000e+00,-9.20000e+00,
-3.1599975e-03,-9.40000e+00,-9.20000e+00,
-3.1499974e-03,-9.80000e+00,-9.20000e+00,
