t,ch1,ch2,
,,,
-3.0000000e-03,3.20000e-01,-1.60000e-02,
-2.9899999e-03,4.00000e-01,-2.40000e-02,
-2.9799999e-03,4.80000e-01,-1.60000e-02,
-2.9699998e-03,6.40000e-01,-3.20000e-02,
-2.9599997e-03,6.40000e-01,-2.40000e-02,
-2.9499996e-03,8.80000e-01,-4.00000e-02,
-2.9399996e-03,8.80000e-01,-4.00000e-02,
-2.9299995e-03,1.04000e+00,-5.60000e-02,
-2.9199994e-03,1.04000e+00,-5.60000e-02,
-2.9099993e-03,1.20000e+00,-8.00000e-02,
-2.8999993e-03,1.20000e+00,-8.00000e-02,
-2.8899992e-03,1.44000e+00,-9.60000e-02,
-2.8799991e-03,1.44000e+00,-9.60000e-02,
-2.8699990e-03,1.60000e+00,-1.20000e-01,
-2.8599990e-03,1.60000e+00,-1.28000e-01,
-2.8499989e-03,1.84000e+00,-1.44000e-01,
-2.8399988e-03,1.84000e+00,-1.44000e-01,
-2.8299987e-03,2.00000e+00,-1.76000e-01,
-2.8199987e-03,2.00000e+00,-1.76000e-01,
-2.8099986e-03,2.16000e+00,-2.08000e-01,
-2.7999985e-03,2.16000e+00,-2.16000e-01,
-2.7899984e-03,2.40000e+00,-2.40000e-01,
-2.7799984e-03,2.32000e+00,-2.48000e-01,
-2.7699983e-03,2.16000e+00,-2.72000e-01,
-2.7599982e-03,2.16000e+00,-2.80000e-01,
-2.7499981e-03,1.92000e+00,-2.96000e-01,
-2.7399980e-03,1.92000e+00,-3.20000e-01,
-2.7299980e-03,1.84000e+00,-3.36000e-01,
-2.7199979e-03,1.76000e+00,-3.36000e-01,
-2.7099978e-03,1.52000e+00,-3.60000e-01,
-2.6999977e-03,1.52000e+00,-3.68000e-01,
-2.6899977e-03,1.36000e+00,-3.84000e-01,
-2.6799976e-03,1.36000e+00,-3.84000e-01,
-2.6699975e-03,1.20000e+00,-4.00000e-01,
-2.6599974e-03,1.12000e+00,-4.00000e-01,
-2.6499974e-03,9.60000e-01,-4.16000e-01,
-2.6399973e-03,9.60000e-01,-4.16000e-01,
-2.6299972e-03,8.00000e-01,-4.40000e-01,
-2.6199971e-03,8.00000e-01,-4.32000e-01,
-2.6099971e-03,5.60000e-01,-4.56000e-01,
-2.5999970e-03,5.60000e-01,-4.40000e-01,
-2.5899969e-03,4.00000e-01,-4.56000e-01,
-2.5799968e-03,3.20000e-01,-4.56000e-01,
-2.5699968e-03,2.40000e-01,-4.64000e-01,
-2.5599967e-03,2.40000e-01,-4.56000e-01,
-2.5499966e-03,-0.00000e+00,-4.64000e-01,
-2.5399965e-03,-7.99999e-02,-4.72000e-01,
-2.5299964e-03,-1.60000e-01,-4.56000e-01,
-2.5199964e-03,-1.60000e-01,-4.56000e-01,
-2.5099963e-03,-4.00000e-01,-4.64000e-01,
-2.4999962e-03,-4.00000e-01,-4.56000e-01,
-2.4899961e-03,-6.40000e-01,-4.48000e-01,
-2.4799961e-03,-5.60000e-01,-4.48000e-01,
-2.4699960e-03,-8.00000e-01,-4.40000e-01,
-2.4599959e-03,-7.20000e-01,-4.40000e-01,
-2.4499958e-03,-9.60000e-01,-4.16000e-01,
-2.4399958e-03,-9.60000e-01,-4.32000e-01,
-2.4299957e-03,-1.20000e+00,-3.92000e-01,
-2.4199956e-03,-1.12000e+00,-4.00000e-01,
-2.4099955e-03,-1.36000e+00,-3.84000e-01,
-2.3999955e-03,-1.36000e+00,-3.84000e-01,
-2.3899954e-03,-1.52000e+00,-3.68000e-01,
-2.3799953e-03,-1.60000e+00,-3.68000e-01,
-2.3699952e-03,-1.68000e+00,-3.52000e-01,
-2.3599952e-03,-1.68000e+00,-3.52000e-01,
-2.3499951e-03,-1.92000e+00,-3.20000e-01,
-2.3399950e-03,-2.00000e+00,-3.28000e-01,
-2.3299949e-03,-2.16000e+00,-2.88000e-01,
-2.3199948e-03,-2.16000e+00,-2.88000e-01,
-2.3099948e-03,-2.32000e+00,-2.56000e-01,
-2.2999947e-03,-2.32000e+00,-2.48000e-01,
-2.2899946e-03,-2.56000e+00,-2.24000e-01,
-2.2799945e-03,-2.48000e+00,-2.32000e-01,
-2.2699945e-03,-2.32000e+00,-1.92000e-01,
-2.2599944e-03,-2.32000e+00,-1.92000e-01,
-2.2499943e-03,-2.08000e+00,-1.60000e-01,
-2.2399942e-03,-2.08000e+00,-1.52000e-01,
-2.2299942e-03,-1.84000e+00,-1.28000e-01,
-2.2199941e-03,-1.92000e+00,-1.28000e-01,
-2.2099940e-03,-1.68000e+00,-1.04000e-01,
-2.1999939e-03,-1.68000e+00,-1.12000e-01,
-2.1899939e-03,-1.52000e+00,-8.80000e-02,
-2.1799938e-03,-1.52000e+00,-9.60000e-02,
-2.1699937e-03,-1.36000e+00,-5.60000e-02,
-2.1599936e-03,-1.28000e+00,-5.60000e-02,
-2.1499936e-03,-1.04000e+00,-4.80000e-02,
-2.1399935e-03,-1.12000e+00,-4.80000e-02,
-2.1299934e-03,-8.80000e-01,-3.20000e-02,
-2.1199933e-03,-8.80000e-01,-2.40000e-02,
-2.1099932e-03,-7.20000e-01,-2.40000e-02,
-2.0999932e-03,-7.20000e-01,-2.40000e-02,
-2.0899931e-03,-5.60000e-01,-8.00002e-03,
-2.0799930e-03,-4.80000e-01,-1.60000e-02,
-2.0699929e-03,-4.00000e-01,7.99999e-03,
-2.0599929e-03,-3.20000e-01,-8.00002e-03,
-2.0499928e-03,-1.60000e-01,-1.60000e-02,
-2.0399927e-03,-7.99999e-02,-8.00002e-03,
-2.0299926e-03,8.00004e-02,-8.00002e-03,
-2.0199926e-03,8.00004e-02,-8.00002e-03,
-2.0099925e-03,2.40000e-01,-1.60000e-02,
-1.9999924e-03,2.40000e-01,-2.40000e-02,
-1.9899923e-03,4.80000e-01,-8.00002e-03,
-1.9799923e-03,4.00000e-01,-2.40000e-02,
-1.9699922e-03,6.40000e-01,-3.20000e-02,
-1.9599921e-03,6.40000e-01,-2.40000e-02,
-1.9499921e-03,8.80000e-01,-4.00000e-02,
-1.9399922e-03,8.80000e-01,-4.00000e-02,
-1.9299922e-03,1.04000e+00,-5.60000e-02,
-1.9199923e-03,1.04000e+00,-5.60000e-02,
-1.9099923e-03,1.20000e+00,-8.00000e-02,
-1.8999923e-03,1.20000e+00,-8.00000e-02,
-1.8899924e-03,1.44000e+00,-9.60000e-02,
-1.8799924e-03,1.44000e+00,-9.60000e-02,
-1.8699925e-03,1.60000e+00,-1.20000e-01,
-1.8599925e-03,1.60000e+00,-1.20000e-01,
-1.8499925e-03,1.84000e+00,-1.44000e-01,
-1.8399926e-03,1.84000e+00,-1.52000e-01,
-1.8299926e-03,2.00000e+00,-1.76000e-01,
-1.8199927e-03,2.00000e+00,-1.76000e-01,
-1.8099927e-03,2.24000e+00,-2.16000e-01,
-1.7999928e-03,2.16000e+00,-2.16000e-01,
-1.7899928e-03,2.32000e+00,-2.48000e-01,
-1.7799928e-03,2.32000e+00,-2.48000e-01,
-1.7699929e-03,2.16000e+00,-2.80000e-01,
-1.7599929e-03,2.16000e+00,-2.80000e-01,
-1.7499930e-03,2.00000e+00,-3.12000e-01,
-1.7399930e-03,1.92000e+00,-3.20000e-01,
-1.7299930e-03,1.76000e+00,-3.36000e-01,
-1.7199931e-03,1.76000e+00,-3.36000e-01,
-1.7099931e-03,1.52000e+00,-3.68000e-01,
-1.6999932e-03,1.52000e+00,-3.60000e-01,
-1.6899932e-03,1.36000e+00,-3.84000e-01,
-1.6799932e-03,1.36000e+00,-3.84000e-01,
-1.6699933e-03,1.20000e+00,-4.00000e-01,
-1.6599933e-03,1.20000e+00,-4.00000e-01,
-1.6499934e-03,9.60000e-01,-4.16000e-01,
-1.6399934e-03,9.60000e-01,-4.16000e-01,
-1.6299934e-03,8.00000e-01,-4.40000e-01,
-1.6199935e-03,8.00000e-01,-4.40000e-01,
-1.6099935e-03,5.60000e-01,-4.56000e-01,
