t,ch1,ch2,
,,,
-2.9999997e-02,2.32000e+00,-1.36000e+01,
-2.9899998e-02,2.32000e+00,-1.36000e+01,
-2.9799998e-02,2.32000e+00,-1.36000e+01,
-2.9699998e-02,2.32000e+00,-1.36000e+01,
-2.9599998e-02,2.32000e+00,-1.36000e+01,
-2.9499998e-02,2.40000e+00,-4.00002e-01,
-2.9399998e-02,2.32000e+00,-4.00002e-01,
-2.9299999e-02,2.40000e+00,4.00002e-01,
-2.9199999e-02,2.40000e+00,-4.00002e-01,
-2.9099999e-02,2.32000e+00,4.00002e-01,
-2.8999999e-02,2.32000e+00,4.00002e-01,
-2.8899999e-02,2.48000e+00,-4.00002e-01,
-2.8800000e-02,2.40000e+00,4.00002e-01,
-2.8700000e-02,2.32000e+00,-4.00002e-01,
-2.8600000e-02,2.40000e+00,4.00002e-01,
-2.8500000e-02,2.32000e+00,-0.00000e+00,
-2.8400000e-02,2.48000e+00,4.00002e-01,
-2.8300000e-02,2.32000e+00,-0.00000e+00,
-2.8200001e-02,2.40000e+00,4.00002e-01,
-2.8100001e-02,2.32000e+00,-4.00002e-01,
-2.8000001e-02,2.40000e+00,4.00002e-01,
-2.7900001e-02,2.32000e+00,-4.00002e-01,
-2.7800001e-02,2.32000e+00,4.00002e-01,
-2.7700001e-02,2.48000e+00,4.00002e-01,
-2.7600002e-02,2.32000e+00,4.00002e-01,
-2.7500002e-02,2.40000e+00,-0.00000e+00,
-2.7400002e-02,2.32000e+00,4.00002e-01,
-2.7300002e-02,2.40000e+00,4.00002e-01,
-2.7200002e-02,2.40000e+00,4.00002e-01,
-2.7100002e-02,2.32000e+00,-0.00000e+00,
-2.7000003e-02,2.40000e+00,4.00002e-01,
-2.6900003e-02,2.32000e+00,-4.00002e-01,
-2.6800003e-02,2.32000e+00,4.00002e-01,
-2.6700003e-02,2.40000e+00,-4.00002e-01,
-2.6600003e-02,2.32000e+00,4.00002e-01,
-2.6500003e-02,2.40000e+00,-0.00000e+00,
-2.6400004e-02,2.32000e+00,4.00002e-01,
-2.6300004e-02,2.32000e+00,-4.00002e-01,
-2.6200004e-02,2.32000e+00,-0.00000e+00,
-2.6100004e-02,2.32000e+00,4.00002e-01,
-2.6000004e-02,2.32000e+00,4.00002e-01,
-2.5900004e-02,2.24000e+00,-0.00000e+00,
-2.5800005e-02,2.32000e+00,4.00002e-01,
-2.5700005e-02,2.24000e+00,-0.00000e+00,
-2.5600005e-02,2.32000e+00,4.00002e-01,
-2.5500005e-02,2.24000e+00,-0.00000e+00,
-2.5400005e-02,2.24000e+00,4.00002e-01,
-2.5300005e-02,2.32000e+00,-4.00002e-01,
-2.5200006e-02,2.24000e+00,4.00002e-01,
-2.5100006e-02,2.32000e+00,-0.00000e+00,
-2.5000006e-02,2.32000e+00,-4.00002e-01,
-2.4900006e-02,-2.56000e+00,1.44000e+01,
-2.4800006e-02,-2.56000e+00,1.44000e+01,
-2.4700006e-02,-2.56000e+00,1.44000e+01,
-2.4600007e-02,-2.56000e+00,1.44000e+01,
-2.4500007e-02,-2.48000e+00,8.00003e-01,
-2.4400007e-02,-2.56000e+00,4.00002e-01,
-2.4300007e-02,-2.64000e+00,4.00002e-01,
-2.4200007e-02,-2.56000e+00,4.00002e-01,
-2.4100007e-02,-2.64000e+00,4.00002e-01,
-2.4000008e-02,-2.56000e+00,4.00002e-01,
-2.3900008e-02,-2.64000e+00,4.00002e-01,
-2.3800008e-02,-2.56000e+00,4.00002e-01,
-2.3700008e-02,-2.64000e+00,4.00002e-01,
-2.3600008e-02,-2.64000e+00,4.00002e-01,
-2.3500009e-02,-2.56000e+00,4.00002e-01,
-2.3400009e-02,-2.64000e+00,4.00002e-01,
-2.3300009e-02,-2.56000e+00,-0.00000e+00,
-2.3200009e-02,-2.56000e+00,4.00002e-01,
-2.3100009e-02,-2.64000e+00,4.00002e-01,
-2.3000009e-02,-2.64000e+00,4.00002e-01,
-2.2900010e-02,-2.56000e+00,-0.00000e+00,
-2.2800010e-02,-2.64000e+00,4.00002e-01,
-2.2700010e-02,-2.56000e+00,-0.00000e+00,
-2.2600010e-02,-2.56000e+00,4.00002e-01,
-2.2500010e-02,-2.56000e+00,-0.00000e+00,
-2.2400010e-02,-2.56000e+00,4.00002e-01,
-2.2300011e-02,-2.56000e+00,-4.00002e-01,
-2.2200011e-02,-2.56000e+00,4.00002e-01,
-2.2100011e-02,-2.56000e+00,-0.00000e+00,
-2.2000011e-02,-2.56000e+00,4.00002e-01,
-2.1900011e-02,-2.64000e+00,-0.00000e+00,
-2.1800011e-02,-2.56000e+00,4.00002e-01,
-2.1700012e-02,-2.56000e+00,-0.00000e+00,
-2.1600012e-02,-2.56000e+00,4.00002e-01,
-2.1500012e-02,-2.56000e+00,-0.00000e+00,
-2.1400012e-02,-2.56000e+00,4.00002e-01,
-2.1300012e-02,-2.48000e+00,-0.00000e+00,
-2.1200012e-02,-2.48000e+00,4.00002e-01,
-2.1100013e-02,-2.56000e+00,-4.00002e-01,
-2.1000013e-02,-2.48000e+00,4.00002e-01,
-2.0900013e-02,-2.56000e+00,-4.00002e-01,
-2.0800013e-02,-2.48000e+00,4.00002e-01,
-2.0700013e-02,-2.56000e+00,-0.00000e+00,
-2.0600013e-02,-2.56000e+00,4.00002e-01,
-2.0500014e-02,-2.48000e+00,-0.00000e+00,
-2.0400014e-02,-2.48000e+00,4.00002e-01,
-2.0300014e-02,-2.56000e+00,-4.00002e-01,
-2.0200014e-02,-2.48000e+00,4.00002e-01,
-2.0100014e-02,-2.56000e+00,-0.00000e+00,
-2.0000014e-02,-2.48000e+00,4.00002e-01,
-1.9900015e-02,2.32000e+00,-1.36000e+01,
-1.9800015e-02,2.32000e+00,-1.40000e+01,
-1.9700015e-02,2.40000e+00,-1.36000e+01,
-1.9600015e-02,2.32000e+00,-1.36000e+01,
-1.9500015e-02,2.40000e+00,-4.00002e-01,
-1.9400015e-02,2.32000e+00,-4.00002e-01,
-1.9300016e-02,2.48000e+00,4.00002e-01,
-1.9200016e-02,2.40000e+00,4.00002e-01,
-1.9100016e-02,2.32000e+00,-4.00002e-01,
-1.9000016e-02,2.40000e+00,-0.00000e+00,
-1.8900016e-02,2.32000e+00,4.00002e-01,
-1.8800016e-02,2.40000e+00,4.00002e-01,
-1.8700017e-02,2.32000e+00,-4.00002e-01,
-1.8600017e-02,2.48000e+00,4.00002e-01,
-1.8500017e-02,2.32000e+00,-4.00002e-01,
-1.8400017e-02,2.40000e+00,-0.00000e+00,
-1.8300017e-02,2.40000e+00,4.00002e-01,
-1.8200018e-02,2.32000e+00,4.00002e-01,
-1.8100018e-02,2.48000e+00,-4.00002e-01,
-1.8000018e-02,2.40000e+00,4.00002e-01,
-1.7900018e-02,2.32000e+00,-4.00002e-01,
-1.7800018e-02,2.40000e+00,4.00002e-01,
-1.7700018e-02,2.32000e+00,-4.00002e-01,
-1.7600019e-02,2.40000e+00,4.00002e-01,
-1.7500019e-02,2.32000e+00,-0.00000e+00,
-1.7400019e-02,2.32000e+00,4.00002e-01,
-1.7300019e-02,2.40000e+00,-0.00000e+00,
-1.7200019e-02,2.40000e+00,4.00002e-01,
-1.7100019e-02,2.32000e+00,-0.00000e+00,
-1.7000020e-02,2.40000e+00,4.00002e-01,
-1.6900020e-02,2.32000e+00,-0.00000e+00,
-1.6800020e-02,2.32000e+00,-0.00000e+00,
-1.6700020e-02,2.40000e+00,4.00002e-01,
-1.6600020e-02,2.32000e+00,4.00002e-01,
-1.6500020e-02,2.40000e+00,-4.00002e-01,
-1.6400021e-02,2.32000e+00,4.00002e-01,
-1.6300021e-02,2.32000e+00,-0.00000e+00,
-1.6200021e-02,2.32000e+00,4.00002e-01,
-1.6100021e-02,2.32000e+00,-0.00000e+00,
-1.6000021e-02,2.32000e+00,4.00002e-01,
-1.5900021e-02,2.32000e+00,-0.00000e+00,
-1.5800022e-02,2.32000e+00,4.00002e-01,
-1.5700022e-02,2.32000e+00,-0.00000e+00,
-1.5600022e-02,2.32000e+00,4.00002e-01,
-1.5500022e-02,2.32000e+00,-0.00000e+00,
-1.5400022e-02,2.32000e+00,4.00002e-01,
-1.5300022e-02,2.24000e+00,-4.00002e-01,
-1.5200023e-02,2.32000e+00,4.00002e-01,
-1.5100023e-02,2.24000e+00,-4.00002e-01,
-1.5000023e-02,2.32000e+00,-0.00000e+00,
-1.4900023e-02,-2.56000e+00,1.44000e+01,
-1.4800023e-02,-2.56000e+00,1.44000e+01,
-1.4700023e-02,-2.56000e+00,1.44000e+01,
-1.4600024e-02,-2.48000e+00,1.44000e+01,
-1.4500024e-02,-2.64000e+00,2.00000e+00,
-1.4400024e-02,-2.56000e+00,8.00003e-01,
-1.4300024e-02,-2.64000e+00,4.00002e-01,
-1.4200024e-02,-2.56000e+00,4.00002e-01,
-1.4100024e-02,-2.64000e+00,4.00002e-01,
-1.4000025e-02,-2.64000e+00,4.00002e-01,
-1.3900025e-02,-2.56000e+00,4.00002e-01,
-1.3800025e-02,-2.56000e+00,4.00002e-01,
-1.3700025e-02,-2.64000e+00,-0.00000e+00,
-1.3600025e-02,-2.56000e+00,4.00002e-01,
-1.3500025e-02,-2.64000e+00,-0.00000e+00,
-1.3400026e-02,-2.56000e+00,4.00002e-01,
-1.3300026e-02,-2.64000e+00,-0.00000e+00,
