t,ch1,ch2,
,,,
5.0684798e-04,2.28000e+00,2.56000e+00,
5.0684996e-04,2.28000e+00,2.48000e+00,
5.0685194e-04,2.36000e+00,2.48000e+00,
5.0685392e-04,2.36000e+00,2.40000e+00,
5.0685590e-04,2.28000e+00,2.48000e+00,
5.0685788e-04,2.20000e+00,2.56000e+00,
5.0685985e-04,2.36000e+00,2.48000e+00,
5.0686183e-04,2.36000e+00,2.48000e+00,
5.0686381e-04,2.28000e+00,2.40000e+00,
5.0686579e-04,2.28000e+00,2.48000e+00,
5.0686777e-04,2.28000e+00,2.56000e+00,
5.0686975e-04,2.28000e+00,2.48000e+00,
5.0687173e-04,2.36000e+00,2.48000e+00,
5.0687371e-04,2.36000e+00,2.48000e+00,
5.0687569e-04,2.28000e+00,2.48000e+00,
5.0687767e-04,2.28000e+00,2.56000e+00,
5.0687965e-04,2.36000e+00,2.48000e+00,
5.0688162e-04,2.36000e+00,2.48000e+00,
5.0688360e-04,2.36000e+00,2.40000e+00,
5.0688558e-04,2.28000e+00,2.48000e+00,
5.0688756e-04,2.28000e+00,2.56000e+00,
5.0688954e-04,2.28000e+00,2.48000e+00,
5.0689152e-04,2.36000e+00,2.48000e+00,
5.0689350e-04,2.36000e+00,2.40000e+00,
5.0689548e-04,2.28000e+00,2.48000e+00,
5.0689746e-04,2.28000e+00,2.56000e+00,
5.0689944e-04,2.36000e+00,2.48000e+00,
5.0690142e-04,2.36000e+00,2.48000e+00,
5.0690339e-04,2.36000e+00,2.40000e+00,
5.0690537e-04,2.28000e+00,2.48000e+00,
5.0690735e-04,2.28000e+00,2.48000e+00,
5.0690933e-04,2.28000e+00,2.48000e+00,
5.0691131e-04,2.36000e+00,2.48000e+00,
5.0691329e-04,2.36000e+00,2.40000e+00,
5.0691527e-04,2.28000e+00,2.48000e+00,
5.0691725e-04,2.28000e+00,2.56000e+00,
5.0691923e-04,2.28000e+00,2.48000e+00,
5.0692121e-04,2.36000e+00,2.48000e+00,
5.0692318e-04,2.36000e+00,2.40000e+00,
5.0692516e-04,2.28000e+00,2.48000e+00,
5.0692714e-04,2.28000e+00,2.56000e+00,
5.0692912e-04,2.36000e+00,2.48000e+00,
5.0693110e-04,2.36000e+00,2.48000e+00,
5.0693308e-04,2.36000e+00,2.40000e+00,
5.0693506e-04,2.28000e+00,2.48000e+00,
5.0693704e-04,2.20000e+00,2.56000e+00,
5.0693902e-04,2.36000e+00,2.48000e+00,
5.0694100e-04,2.36000e+00,2.48000e+00,
5.0694298e-04,2.28000e+00,2.40000e+00,
5.0694495e-04,2.28000e+00,2.48000e+00,
5.0694693e-04,2.28000e+00,2.56000e+00,
5.0694891e-04,2.28000e+00,2.48000e+00,
5.0695089e-04,2.36000e+00,2.48000e+00,
5.0695287e-04,2.28000e+00,2.48000e+00,
5.0695485e-04,2.28000e+00,2.48000e+00,
5.0695683e-04,2.28000e+00,2.56000e+00,
5.0695881e-04,2.36000e+00,2.48000e+00,
5.0696079e-04,2.36000e+00,2.48000e+00,
5.0696277e-04,2.36000e+00,2.40000e+00,
5.0696475e-04,2.28000e+00,2.48000e+00,
5.0696672e-04,2.28000e+00,2.56000e+00,
5.0696870e-04,2.36000e+00,2.48000e+00,
5.0697068e-04,2.36000e+00,2.48000e+00,
5.0697266e-04,2.36000e+00,2.40000e+00,
5.0697464e-04,2.28000e+00,2.48000e+00,
5.0697662e-04,2.28000e+00,2.56000e+00,
5.0697860e-04,2.28000e+00,2.48000e+00,
5.0698058e-04,2.36000e+00,2.48000e+00,
5.0698256e-04,2.36000e+00,2.40000e+00,
5.0698454e-04,2.28000e+00,2.48000e+00,
5.0698651e-04,2.28000e+00,2.56000e+00,
5.0698849e-04,2.28000e+00,2.48000e+00,
5.0699047e-04,2.36000e+00,2.56000e+00,
5.0699245e-04,2.36000e+00,2.40000e+00,
5.0699443e-04,2.28000e+00,2.48000e+00,
5.0699641e-04,2.28000e+00,2.56000e+00,
5.0699839e-04,2.36000e+00,2.48000e+00,
5.0700037e-04,2.36000e+00,2.48000e+00,
5.0700235e-04,2.28000e+00,2.40000e+00,
5.0700433e-04,2.28000e+00,2.48000e+00,
5.0700631e-04,2.20000e+00,2.56000e+00,
