t,ch1,ch2,
,,,
-6.0000001e-03,4.72000e+00,4.96000e+00,
-5.9799999e-03,4.92000e+00,5.36000e+00,
-5.9599997e-03,4.92000e+00,5.36000e+00,
-5.9399996e-03,4.72000e+00,4.96000e+00,
-5.9199994e-03,4.92000e+00,4.96000e+00,
-5.8999993e-03,4.72000e+00,5.36000e+00,
-5.8799991e-03,4.72000e+00,4.96000e+00,
-5.8599990e-03,4.92000e+00,5.36000e+00,
-5.8399988e-03,4.72000e+00,4.96000e+00,
-5.8199987e-03,4.92000e+00,5.36000e+00,
-5.7999985e-03,4.72000e+00,4.96000e+00,
-5.7799984e-03,4.92000e+00,5.36000e+00,
-5.7599982e-03,4.72000e+00,5.36000e+00,
-5.7399981e-03,4.92000e+00,4.96000e+00,
-5.7199979e-03,4.72000e+00,5.36000e+00,
-5.6999978e-03,4.72000e+00,4.96000e+00,
-5.6799976e-03,4.92000e+00,5.36000e+00,
-5.6599975e-03,4.72000e+00,4.96000e+00,
-5.6399973e-03,4.92000e+00,4.96000e+00,
-5.6199972e-03,4.72000e+00,5.36000e+00,
-5.5999970e-03,4.72000e+00,4.96000e+00,
-5.5799969e-03,4.92000e+00,5.36000e+00,
-5.5599967e-03,4.72000e+00,4.96000e+00,
-5.5399965e-03,4.92000e+00,5.36000e+00,
-5.5199964e-03,4.72000e+00,4.96000e+00,
-5.4999962e-03,4.92000e+00,5.36000e+00,
-5.4799961e-03,4.72000e+00,4.96000e+00,
-5.4599959e-03,4.92000e+00,5.36000e+00,
-5.4399958e-03,4.72000e+00,4.96000e+00,
-5.4199956e-03,4.92000e+00,5.36000e+00,
-5.3999955e-03,4.92000e+00,4.96000e+00,
-5.3799953e-03,4.72000e+00,5.36000e+00,
-5.3599952e-03,4.72000e+00,4.96000e+00,
-5.3399950e-03,4.92000e+00,5.36000e+00,
-5.3199949e-03,4.72000e+00,4.96000e+00,
-5.2999947e-03,4.92000e+00,5.36000e+00,
-5.2799946e-03,4.72000e+00,5.36000e+00,
-5.2599944e-03,4.92000e+00,4.96000e+00,
-5.2399943e-03,4.72000e+00,4.96000e+00,
-5.2199941e-03,4.92000e+00,5.36000e+00,
-5.1999940e-03,4.72000e+00,4.96000e+00,
-5.1799938e-03,4.92000e+00,5.36000e+00,
-5.1599937e-03,4.72000e+00,5.36000e+00,
-5.1399935e-03,4.72000e+00,4.96000e+00,
-5.1199934e-03,4.72000e+00,4.96000e+00,
-5.0999932e-03,4.72000e+00,5.36000e+00,
-5.0799930e-03,4.72000e+00,4.96000e+00,
-5.0599929e-03,4.72000e+00,5.36000e+00,
